numero,id_voie,lon,lat,appartement,valeur_locative
1,29082_b095,-4.018625,48.745231,1,0
4,29082_b095,-4.018627,48.745333,1,0
7,29082_b095,-4.018825,48.745505,1,0
8,29082_b095,-4.018216,48.745552,1,0
9,29082_b095,-4.018908,48.745615,1,0
10,29082_b095,-4.01874,48.745523,1,0
11,29082_b095,-4.019473,48.745492,1,0
12,29082_b095,-4.018814,48.745638,1,0
13,29082_b095,-4.019249,48.745844,1,0
15,29082_b095,-4.019523,48.745682,1,0
16,29082_b095,-4.019281,48.746173,1,0
18,29082_b095,-4.019174,48.746217,1,0
19,29082_b095,-4.019572,48.746226,1,0
20,29082_b095,-4.01947,48.746407,1,0
21,29082_b095,-4.019651,48.746472,1,0
22,29082_b095,-4.019235,48.746522,1,0
23,29082_b095,-4.019964,48.746271,1,0
25,29082_b095,-4.020169,48.746112,1,0
27,29082_b095,-4.020249,48.746055,1,0
29,29082_b095,-4.020296,48.746027,1,0
31,29082_b095,-4.020415,48.746004,1,0
1,29082_o66pug,-4.006685,48.74324,1,0
3,29082_o66pug,-4.006509,48.743362,1,0
5,29082_o66pug,-4.006231,48.743536,1,0
9,29082_o66pug,-4.006526,48.743247,1,0
11,29082_o66pug,-4.00654,48.7432,1,0
13,29082_o66pug,-4.006409,48.743164,1,0
15,29082_o66pug,-4.00626,48.743122,1,0
17,29082_o66pug,-4.006211,48.743095,1,0
19,29082_o66pug,-4.00612,48.743087,1,0
20,29082_o66pug,-4.005802,48.742916,1,0
21,29082_o66pug,-4.005981,48.74304,1,0
23,29082_o66pug,-4.005822,48.743001,1,0
25,29082_o66pug,-4.005434,48.74286,1,0
27,29082_o66pug,-4.005332,48.742848,1,0
2,29082_vubggj,-4.003207,48.742977,1,0
4,29082_vubggj,-4.003083,48.742804,1,0
10,29082_vubggj,-4.001892,48.743034,1,0
11,29082_vubggj,-4.001714,48.742843,1,0
13,29082_vubggj,-4.001616,48.742595,1,0
15,29082_vubggj,-4.001746,48.742512,1,0
17,29082_vubggj,-4.001876,48.742221,1,0
21,29082_vubggj,-4.001324,48.742117,1,0
23,29082_vubggj,-4.001081,48.742032,1,0
25,29082_vubggj,-4.000763,48.742107,1,0
27,29082_vubggj,-4.000407,48.742159,1,0
29,29082_vubggj,-4.000362,48.742156,1,0
31,29082_vubggj,-4.000192,48.742132,1,0
33,29082_vubggj,-4.000264,48.742076,1,0
35,29082_vubggj,-4.000572,48.742028,1,0
37,29082_vubggj,-4.001042,48.741913,1,0
41,29082_vubggj,-4.000942,48.741335,1,0
42,29082_vubggj,-4.000806,48.741142,1,0
43,29082_vubggj,-4.000634,48.741229,1,0
44,29082_vubggj,-4.000358,48.741065,1,0
45,29082_vubggj,-4.000383,48.741268,1,0
52,29082_vubggj,-3.998565,48.741676,1,0
53,29082_vubggj,-3.998757,48.741802,1,0
55,29082_vubggj,-3.998837,48.741936,1,0
57,29082_vubggj,-3.999034,48.74201,1,0
59,29082_vubggj,-3.998676,48.742069,1,0
2,29082_b009,-4.020702,48.742769,1,0
3,29082_b009,-4.021131,48.742864,1,0
4,29082_b009,-4.02057,48.742901,1,0
6,29082_b009,-4.020797,48.742921,1,0
8,29082_b009,-4.021127,48.742968,1,0
10,29082_b009,-4.021173,48.743111,1,0
12,29082_b009,-4.021219,48.743051,1,0
14,29082_b009,-4.021284,48.743012,1,0
18,29082_b009,-4.021735,48.74287,1,0
1,29082_b010,-4.005078,48.742874,1,0
3,29082_b010,-4.00509,48.742963,1,0
5,29082_b010,-4.005032,48.742961,1,0
7,29082_b010,-4.004765,48.743207,1,0
8,29082_b010,-4.004599,48.743145,1,0
9,29082_b010,-4.004742,48.743227,2,0
12,29082_b010,-4.004222,48.743432,1,0
13,29082_b010,-4.004884,48.743475,1,0
14,29082_b010,-4.003865,48.743529,1,0
15,29082_b010,-4.004767,48.743482,1,0
16,29082_b010,-4.003471,48.743626,1,0
17,29082_b010,-4.004622,48.743448,2,0
18,29082_b010,-4.003537,48.743458,1,0
19,29082_b010,-4.004041,48.743682,1,0
20,29082_b010,-4.00362,48.743027,1,0
21,29082_b010,-4.003472,48.743829,1,0
24,29082_b010,-4.003307,48.743073,1,0
25,29082_b010,-4.003399,48.744257,1,0
28,29082_b010,-4.00337,48.743743,1,0
29,29082_b010,-4.003453,48.744527,1,0
36,29082_b010,-4.001815,48.744527,1,0
1,29082_z0j8ab,-4.013065,48.745198,1,0
2,29082_z0j8ab,-4.013248,48.74542,1,0
3,29082_z0j8ab,-4.013104,48.745292,1,0
4,29082_z0j8ab,-4.013428,48.745359,1,0
5,29082_z0j8ab,-4.01331,48.745291,1,0
6,29082_z0j8ab,-4.013696,48.745352,1,0
7,29082_z0j8ab,-4.013568,48.745286,1,0
8,29082_z0j8ab,-4.013388,48.745467,1,0
9,29082_z0j8ab,-4.013613,48.745277,1,0
11,29082_z0j8ab,-4.0138,48.745285,1,0
12,29082_z0j8ab,-4.013128,48.74568,1,0
13,29082_z0j8ab,-4.013892,48.745595,1,0
14,29082_z0j8ab,-4.013039,48.745723,1,0
15,29082_z0j8ab,-4.013992,48.745708,1,0
16,29082_z0j8ab,-4.012933,48.745757,1,0
17,29082_z0j8ab,-4.013861,48.745643,1,0
19,29082_z0j8ab,-4.013653,48.745485,1,0
20,29082_z0j8ab,-4.012874,48.745885,1,0
21,29082_z0j8ab,-4.013553,48.745542,1,0
22,29082_z0j8ab,-4.012821,48.746161,1,0
23,29082_z0j8ab,-4.013378,48.745665,1,0
25,29082_z0j8ab,-4.012975,48.745889,1,0
27,29082_z0j8ab,-4.01305,48.746014,1,0
