id,Auteur,Titre,Genre
L001,Stephen King,Ça,horreur
L002,Victor Hugo,Les Misérables,classique
L003,Alexandre Dumas,Le comte de Monte-Cristo,classique
L004,Emily Brontë,Les Hauts de Hurle-Vent,classique
L005,Jules Vernes,Voyage au centre de la terre,classique
L006,J.R.R. Tolkien,Le Seigneur des anneaux,fantasy
L007,Robin Hobb,L'Assassin royal,fantasy
L008,Sarah Rivens,Captive,dark romance
L009,Colleen Hoover,Jamais plus,dark romance
L010,Joyce Kitten,Borderline,dark romance
L011,Chloé Wallerand,Jamais plus,dark romance
L012,Alexiane Thill,Le dernier conte,romantasy
L013,Isabelle Lesteplume,La guerre des ombres,romantasy
L014,Romain Lucazeau,Latium,science-fiction
L015,Romain Benassaya,Pyramide,science-fiction
L016,Anne Rice,Entretien avec un vampire,bitlit
L017,Victor Dixen,Vampyria,bitlit
L018,John Ajvide Lindqvist,Laisse-moi entrer,horreur
L019,Tom Clancy,Octobre rouge,espionnage
L020,Jean-Christophe Grangé,Les Rivières pourpres,thriller
L021,Olivier Norek,Dans les brumes de Capelans,policier
L022,Dan Brown,Da Vinci Code,thriller
L023,Pierre Boulle,La planète des singes,science-fiction
L024,Pierre Bordage,Les guerriers du silence,science-fiction
L025,Neal Stephenson,L'Âge de diamant,science-fiction
L026,Vernor Vinge,Au tréfonds du ciel,science-fiction
L027,Paolo Bacigalupi,La Fille automate,science-fiction
L028,William Gibson,Neuromancien,science-fiction
L029,Orson Scott Card,La Stratégie Ender,science-fiction
L030,Victor Hugo,Notre-Dame de Paris,roman
L031,Alexandre Dumas,Les Trois Mousquetaires,aventure
L032,Honoré de Balzac,Le Père Goriot,roman
L033,Honoré de Balzac,Eugénie Grandet,roman
L034,Gustave Flaubert,Madame Bovary,roman
L035,Gustave Flaubert,L'Éducation sentimentale,roman
L036,Émile Zola,Germinal,roman
L037,Émile Zola,L'Assommoir,roman
L038,Guy de Maupassant,Bel-Ami,roman
L039,Guy de Maupassant,Le Horla,Fantastique
L040,Stendhal,Le Rouge et le Noir,Roman
L041,Stendhal,La Chartreuse de Parme,Roman
L042,Voltaire,Candide,Conte philosophique
L043,Albert Camus,L'Étranger,Roman
L044,Albert Camus,La Peste,Roman
L045,André Malraux,La Condition humaine,Roman
L046,Antoine de Saint-Exupéry,Le Petit Prince,Conte
L047,Antoine de Saint-Exupéry,Terre des hommes,Récit
L048,Marcel Pagnol,La Gloire de mon père,Autobiographie
L049,Marcel Pagnol,Le Château de ma mère,Autobiographie
L050,Marcel Pagnol,Jean de Florette,Roman
L051,Marcel Pagnol,Manon des Sources,Roman
L052,Boris Vian,L'Écume des jours,Roman
L053,Raymond Queneau,Zazie dans le métro,Roman
L054,Louis-Ferdinand Céline,Voyage au bout de la nuit,Roman
L055,Charles Baudelaire,Les Fleurs du mal,Poésie
L056,Arthur Rimbaud,Une saison en enfer,Poésie
L057,Edmond Rostand,Cyrano de Bergerac,Théâtre
L058,Pierre Corneille,Le Cid,Théâtre
L059,Molière,L'Avare,Théâtre
L060,François Rabelais,Gargantua,roman
L061,Alain-Fournier,Le Grand Meaulnes,roman
L062,Romain Gary,La Promesse de l'aube,roman
L063,Françoise Sagan,Bonjour tristesse,roman
L064,Marguerite Duras,L'Amant,roman
