Nom,Nombre
Martin,250 013
Bernard,131 330
Thomas,118 331
Petit,115 217
Robert,112 998
Richard,109 354
Dubois,108 619
Durand,108 374
Moreau,102 804
Laurent,97 015
Simon,96 397
Michel,93 493
Lefebvre,91 459
Leroy,87 282
David,76 085
Roux,75 365
Morel,72 745
Bertrand,72 683
Fournier,71 996
Girard,70 039
Fontaine,70 000
Lambert,69 252
Dupont,69 221
Bonnet,68 481
Rousseau,68 010
Vincent,66 396
Muller,64 309
Lefevre,64 107
Faure,62 937
Andre,62 715
Mercier,62 601
Guerin,62 183
Garcia,61 938
Boyer,61 922
Blanc,61 743
Garnier,61 499
Chevalier,59 902
Francois,59 714
Legrand,59 162
Gauthier,57 731
Perrin,56 419
Robin,55 816
Clement,55 223
Morin,54 669
Henry,53 949
Nicolas,53 537
Roussel,53 520
Gautier,53 164
Mathieu,53 090
Masson,52 584
Duval,51 131
Marchand,50 838
Denis,49 289
Lemaire,48 873
Dumont,48 757
Marie,48 635
Noel,48 601
Meyer,47 492
Dufour,47 439
Meunier,47 200
Martinez,47 023
Blanchard,46 004
Brun,45 695
Riviere,45 694
Lucas,45 444
Joly,45 336
Giraud,45 026
Brunet,44 638
Gaillard,44 341
Barbier,44 176
Gerard,43 649
Arnaud,43 537
Renard,42 672
Roche,42 580
Schmitt,42 249
Roy,41 749
Leroux,41 589
Caron,41 553
Colin,41 318
Vidal,41 003
Picard,41 000
Roger,40 599
Fabre,39 997
Aubert,39 336
Lemoine,39 158
Renaud,38 063
Dumas,37 562
Payet,37 410
Olivier,37 366
Lacroix,37 290
Philippe,36 722
Pierre,36 669
Bourgeois,36 647
Lopez,36 571
Benoit,35 997
Leclerc,35 952
Rey,35 603
Leclercq,35 282
Sanchez,35 260
Lecomte,35 165
Rolland,34 991
Guillaume,34 946
Jean,33 993
Hubert,33 532
Dupuy,33 468
Carpentier,33 267
Guillot,33 243
Berger,33 162
Perez,33 087
Dupuis,32 749
Louis,32 513
Moulin,32 232
Deschamps,31 482
Vasseur,31 409
Huet,31 363
Boucher,30 532
Fernandez,30 435
Fleury,30 347
Adam,30 156
Royer,30 117
Paris,30 053
Jacquet,29 997
Klein,29 805
Poirier,29 757
Charles,29 664
Aubry,29 659
Guyot,29 550
Carre,29 318
Renault,29 269
Menard,29 208
Maillard,29 190
Charpentier,29 185
Marty,29 153
Bertin,29 118
Baron,29 038
Da Silva,28 730
Bailly,28 461
Herve,28 139
Schneider,28 400
Le Gall,27 857
Collet,27 784
Leger,27 715
Bouvier,27 490
Julien,27 182
Prevost,27 099
Millet,26 788
Le Roux,26 173
Daniel,26 571
Perrot,26 530
Cousin,26 515
Germain,26 343
Breton,26 055
Rodriguez,26 021
Langlois,25 998
Remy,25 844
Besson,25 717
Leveque,25 621
Le Goff,25 569
Pelletier,25 569
Leblanc,25 423
Barre,25 242
Lebrun,25 189
Grondin,25 104
Perrier,25 082
Marchal,24 935
Weber,24 758
Boulanger,24 602
Mallet,24 524
Hamon,24 506
Jacob,24 433
Monnier,24 398
Michaud,24 146
Guichard,24 145
Poulain,23 983
Etienne,23 970
Gillet,23 930
Hoarau,23 868
Tessier,23 702
Chevallier,23 548
Collin,23 446
Lemaitre,23 418
Benard,23 390
Chauvin,23 349
Bouchet,23 110
Marechal,23 061
Gay,23 032
Humbert,22 598
Gonzalez,22 554
Antoine,22 553
Perret,22 282
Reynaud,22 281
Cordier,21 856
Lejeune,21 731
Barthelemy,21 693
Delaunay,21 691
Carlier,21 636
Pichon,21 608
Pasquier,21 537
Lamy,21 483
Gilbert,21 442
