id,serie,ordre
S001,Rougon-Macquart,0
S002,OSS 117,0
S003,Bob Morane,0
S004,Harry Potter,1
S005,Dune,1
S006,La Passe-Miroir,1
S007,Angélique,1
S008,Harry Dickson,0
S009,La Tour sombre,1
S010,La saga Vorkosigan,0
S011,Les chroniques des vampires,1
S012,La saga des sorcières,1
S013,Ars Obscura,1
S014,Le cycle d'Hypérion,0
S015,Xenogenesis,0
S016,Trilogie martienne,1
S017,Le Cycle de Tiamat,0
S018,Le Cycle de Fondation,0
S019,Le Cycle de l'Élévation,0
S020,Le Cycle d'Ender,0
S021,Rédemption,0
S022,Zones of Thought,0
